date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:59:12	232/232	---M--	302	error ('Found')	text/html	date:Sat,%2012%20Jun%202021%2007:59:12%20GMT	https://sego.dexignzone.com/xhtml/error-404.html	C:/My%20Web%20Sites/pink%20theme/sego.dexignzone.com/xhtml/error-404.html	(from https://sego.dexignzone.com/xhtml/css/style.css)
12:59:12	7720/7720	---M--	200	added ('OK')	image/png	etag:%221e28-5b69953754880%22	https://sego.dexignzone.com/xhtml/images/like.png	C:/My%20Web%20Sites/pink%20theme/sego.dexignzone.com/xhtml/images/like.png	(from https://sego.dexignzone.com/xhtml/css/style.css)
12:59:12	3477/3477	---M--	200	added ('OK')	image/png	etag:%22d95-5b7489b43e680%22	https://sego.dexignzone.com/xhtml/images/menus/9.png	C:/My%20Web%20Sites/pink%20theme/sego.dexignzone.com/xhtml/images/menus/9.png	(from https://sego.dexignzone.com/xhtml/index.html)
12:59:13	2232/2232	---M--	200	added ('OK')	image/png	etag:%228b8-5b7489b43e680%22	https://sego.dexignzone.com/xhtml/images/menus/10.png	C:/My%20Web%20Sites/pink%20theme/sego.dexignzone.com/xhtml/images/menus/10.png	(from https://sego.dexignzone.com/xhtml/index.html)
12:59:13	4080/4080	---M--	200	added ('OK')	image/png	etag:%22ff0-5b7489b43e680%22	https://sego.dexignzone.com/xhtml/images/menus/11.png	C:/My%20Web%20Sites/pink%20theme/sego.dexignzone.com/xhtml/images/menus/11.png	(from https://sego.dexignzone.com/xhtml/index.html)
12:59:13	4268/4268	---M--	200	added ('OK')	image/png	etag:%2210ac-5b7489b43e680%22	https://sego.dexignzone.com/xhtml/images/menus/12.png	C:/My%20Web%20Sites/pink%20theme/sego.dexignzone.com/xhtml/images/menus/12.png	(from https://sego.dexignzone.com/xhtml/index.html)
12:59:14	3722/3722	---M--	200	added ('OK')	application/x-javascript	etag:%22e8a-58dde996f0800%22	https://sego.dexignzone.com/xhtml/vendor/peity/jquery.peity.min.js	C:/My%20Web%20Sites/pink%20theme/sego.dexignzone.com/xhtml/vendor/peity/jquery.peity.min.js	(from https://sego.dexignzone.com/xhtml/index.html)
12:59:15	16088/16088	---M--	200	added ('OK')	application/x-javascript	etag:%223ed8-5b712128bcf00%22	https://sego.dexignzone.com/xhtml/js/dashboard/dashboard-1.js	C:/My%20Web%20Sites/pink%20theme/sego.dexignzone.com/xhtml/js/dashboard/dashboard-1.js	(from https://sego.dexignzone.com/xhtml/index.html)
12:59:16	210031/210031	---M--	200	added ('OK')	application/x-javascript	etag:%223346f-58dde99508380%22	https://sego.dexignzone.com/xhtml/vendor/chart.js/Chart.bundle.min.js	C:/My%20Web%20Sites/pink%20theme/sego.dexignzone.com/xhtml/vendor/chart.js/Chart.bundle.min.js	(from https://sego.dexignzone.com/xhtml/index.html)
12:59:17	20463/20463	---M--	200	added ('OK')	text/css	etag:%224fef-587d80948b980%22	https://sego.dexignzone.com/xhtml/vendor/lightgallery/css/lightgallery.min.css	C:/My%20Web%20Sites/pink%20theme/sego.dexignzone.com/xhtml/vendor/lightgallery/css/lightgallery.min.css	(from https://sego.dexignzone.com/xhtml/app-profile.html)
12:59:17	17196/17196	---M--	200	added ('OK')	image/png	etag:%22432c-5b605e21a0100%22	https://sego.dexignzone.com/xhtml/images/profile/profile.png	C:/My%20Web%20Sites/pink%20theme/sego.dexignzone.com/xhtml/images/profile/profile.png	(from https://sego.dexignzone.com/xhtml/app-profile.html)
12:59:19	83099/83099	---M--	200	added ('OK')	image/jpeg	etag:%221449b-5b74889624380%22	https://sego.dexignzone.com/xhtml/images/profile/1.jpg	C:/My%20Web%20Sites/pink%20theme/sego.dexignzone.com/xhtml/images/profile/1.jpg	(from https://sego.dexignzone.com/xhtml/app-profile.html)
12:59:20	459010/459010	---M--	200	added ('OK')	application/x-javascript	etag:%2270102-5aecc820ced80%22	https://sego.dexignzone.com/xhtml/vendor/apexchart/apexchart.js	C:/My%20Web%20Sites/pink%20theme/sego.dexignzone.com/xhtml/vendor/apexchart/apexchart.js	(from https://sego.dexignzone.com/xhtml/index.html)
